C:\Documents and Settings\WinTest\Desktop\shashika\Exp_01_2024_09_03\S01_1771_Day01.CSV


Created ,9/23/2008,8:35:14 PM
Exported,9/23/2008,8:42:08 PM

Channels
Disp,Load 1,Load 2,Load 3,DirCmd A,UserCalc1,UserCalc2,UserCalc3,UserCalc4,Axial cmd,Axial err,

Units
mm,N,N,N,V,V,V,V,V,mm,%,

Movers
Axial,

   
"Points","Elapsed Time ","Scan Time ","Disp  ","Load 1 ",
"      ","Sec          ","Sec       ","mm    ","N      ",
       1,         0.0000,      0.0000,  -0.611,   -0.493,
       2,         0.0100,      0.0100,  -0.668,   -0.831,
       3,         0.0200,      0.0200,  -1.202,   -3.613,
       4,         0.0300,      0.0300,  -1.619,   -5.510,
       5,         0.0400,      0.0400,  -1.787,   -6.854,
       6,         0.0500,      0.0500,  -1.993,   -7.923,
       7,         0.0600,      0.0600,  -2.032,   -8.167,
       8,         0.0700,      0.0700,  -2.103,   -8.401,
       9,         0.0800,      0.0800,  -2.133,   -8.544,
      10,         0.0900,      0.0900,  -2.099,   -7.287,
      11,         0.1000,      0.1000,  -1.911,   -4.529,
      12,         0.1100,      0.1100,  -1.686,   -2.588,
      13,         0.1200,      0.1200,  -1.516,   -1.809,
      14,         0.1300,      0.1300,  -1.446,   -1.531,
      15,         0.1400,      0.1400,  -1.307,   -0.981,
      16,         0.1500,      0.1500,  -1.270,   -1.017,
      17,         0.1600,      0.1600,  -1.239,   -0.889,
      18,         0.1700,      0.1700,  -1.160,   -0.672,
      19,         0.1800,      0.1800,  -1.147,   -0.724,
      20,         0.1900,      0.1900,  -1.137,   -0.702,
      21,         0.2000,      0.2000,  -1.104,   -0.602,
      22,         0.2100,      0.2100,  -1.086,   -0.602,
      23,         0.2200,      0.2200,  -1.082,   -0.608,
      24,         0.2300,      0.2300,  -1.068,   -0.567,
      25,         0.2400,      0.2400,  -1.053,   -0.548,
      26,         0.2500,      0.2500,  -1.048,   -0.552,
      27,         0.2600,      0.2600,  -1.042,   -0.547,
      28,         0.2700,      0.2700,  -1.035,   -0.536,
      29,         0.2800,      0.2800,  -1.029,   -0.531,
      30,         0.2900,      0.2900,  -1.025,   -0.529,
      31,         0.3000,      0.3000,  -1.021,   -0.529,
      32,         0.3100,      0.3100,  -1.018,   -0.527,
      33,         0.3200,      0.3200,  -1.014,   -0.523,
